User	260: Star Wars: Episode IV - A New Hope (1977)	1210: Star Wars: Episode VI - Return of the Jedi (1983)	356: Forrest Gump (1994)	318: Shawshank Redemption, The (1994)	593: Silence of the Lambs, The (1991)	3578: Gladiator (2000)	1: Toy Story (1995)	2028: Saving Private Ryan (1998)	296: Pulp Fiction (1994)	1259: Stand by Me (1986)	2396: Shakespeare in Love (1998)	2916: Total Recall (1990)	780: Independence Day (ID4) (1996)	541: Blade Runner (1982)	1265: Groundhog Day (1993)	2571: Matrix, The (1999)	527: Schindler's List (1993)	2762: Sixth Sense, The (1999)	1198: Raiders of the Lost Ark (1981)	34: Babe (1995)	1																					
755	1	5	2		4	4	2	2		3	2		5	2	5	4	2	5			2	2	0	4	4	2	2	0	3	2	0	5	2	5	4	2	5	0	0			
5277	5			2	4	2	1			4	3	2	2		2		5	1	3		3	0	10	20	10	5	0	0	20	15	10	10	0	10	0	25	5	15	0			
1577				5	2		4			1		1	4	4	1	1	2	3	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
4388		3				1	2	3	4			4		3	5		5	1	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
1202	4	3	4	1	4	1		4		1	5	1		4		3	5	5				16	4	16	4	0	16	0	4	20	4	0	16	0	12	20	20	0	0			
3823	2	4	4	4			3	1	4	4	5	2	4		1			3		2		8	8	0	0	6	2	8	8	10	4	8	0	2	0	0	6	0	4			
5448	4		3	1	1	4		5	2		1			3		1			5	2		12	4	4	16	0	20	8	0	4	0	0	12	0	4	0	0	20	8			
5347	4				3	2	2		3			2	1	2	4		1	3	5			0	0	12	8	8	0	12	0	0	8	4	8	16	0	4	12	20	0			
4117	5	1		4	2	4	4	4		1	2		1		5					5		0	20	10	20	20	20	0	5	10	0	5	0	25	0	0	0	0	25			
2765	4	2		5	3		4	3	4				2			2	5	1				0	20	12	0	16	12	16	0	0	0	8	0	0	8	20	4	0	0			
5450	2	1	5			5	5					3	2			1		2	1	4		10	0	0	10	10	0	0	0	0	6	4	0	0	2	0	4	2	8	Top rating counts:		
139	3	5	2				2		1		3		3		2	5				2		6	0	0	0	6	0	3	0	9	0	9	0	6	15	0	0	0	6	Err:502	Err:502	Err:502
1940	2			5	4		4	5				2	4		3				5			0	10	8	0	8	10	0	0	0	4	8	0	6	0	0	0	10	0	Err:502	Err:502	Err:502
3118	3		3		2		3			4		1	2	2	3	5	1					9	0	6	0	9	0	0	12	0	3	6	6	9	15	3	0	0	0	Err:502	Err:502	Err:502
4656	4	4			5	5	2		3	5		1	3		2		3		3	1		0	0	20	20	8	0	12	20	0	4	12	0	8	0	12	0	12	4	Err:502	Err:502	Err:502
4796			1		3	2		2		1	5		2			2	2	4	3	4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Err:502	Err:502	Err:502
6037							2		2		2		3		3	4						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
3048	4	5	1	5	1	1	4		5					4			2	1	2	5		4	20	4	4	16	0	20	0	0	0	0	16	0	0	8	4	8	20			
4790	5	1	3			4	2	1	3	3	3	1				2						15	0	0	20	10	5	15	15	15	5	0	0	0	10	0	0	0	0			
4489	1	2	2	4	5		2	3	2	2	1		4	5	5	4	3	5	3			2	4	5	0	2	3	2	2	1	0	4	5	5	4	3	5	3	0			
Mean:	3.3125	3	2.7272727273	3.6	3.0714285714	2.9166666667	2.8235294118	3	3	2.6363636364	2.9090909091	1.8181818182	2.8	3.2222222222	3.1538461538	2.8333333333	3	2.8333333333	2.9090909091	3	star war num:	10	9	12	10	14	9	9	9	9	9	12	7	10	9	9	9	8	7			
Count:	16	12	11	10	14	12	17	11	11	11	11	11	15	9	13	12	12	12	11	10																						
4+ count:	9	5	3	7	6	6	6	4	4	4	3	1	5	4	5	5	4	4	3	4																						
4+ perc	0.5625	0.4166666667	0.2727272727	0.7	0.4285714286	0.5	0.3529411765	0.3636363636	0.3636363636	0.3636363636	0.2727272727	0.0909090909	0.3333333333	0.4444444444	0.3846153846	0.4166666667	0.3333333333	0.3333333333	0.2727272727	0.4																						
star war:	16	11	10	9	12	10	14	9	9	9	9	9	12	7	10	9	9	9	8	7																						
star war perc:		0.6875	0.625	0.5625	0.75	0.625	0.875	0.5625	0.5625	0.5625	0.5625	0.5625	0.75	0.4375	0.625	0.5625	0.5625	0.5625	0.5	0.4375																						
																																										
																																										
													75		62,5																											
		68,75			75		87,5																																			
